date,strategy,ticker,weight,predicted_return_21d,actual_future_return_21d,strategy_note
2025-11-28,pto_markowitz,QQQ,0.0,0.000682899437379092,0.0015794504433870316,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-11-28,pto_markowitz,TLT,0.0,-0.003551354631781578,-0.0187683068215847,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-11-28,pto_markowitz,GLD,4.287755703739228e-14,-0.058312080800533295,0.028385091572999954,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-11-28,pto_markowitz,VNQ,0.8676908434429432,0.03311486914753914,-0.014297537505626678,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-11-28,pto_markowitz,DBC,0.13230915655701395,0.0076745436526834965,0.014829657971858978,PtO Ridge prediction with Markowitz max-Sharpe optimization
2025-11-28,spo_plus,SPY,1.0,1.6449615955352783,0.008267742581665516,PyEPO SPO+ loss with MaxReturn optimizer
2025-11-28,spo_plus,QQQ,0.0,1.5319827795028687,0.0015794504433870316,PyEPO SPO+ loss with MaxReturn optimizer
2025-11-28,spo_plus,TLT,0.0,1.1425223350524902,-0.0187683068215847,PyEPO SPO+ loss with MaxReturn optimizer
2025-11-28,spo_plus,GLD,0.0,-2.724017381668091,0.028385091572999954,PyEPO SPO+ loss with MaxReturn optimizer
2025-11-28,spo_plus,VNQ,0.0,-1.0394959449768066,-0.014297537505626678,PyEPO SPO+ loss with MaxReturn optimizer
2025-11-28,spo_plus,DBC,0.0,0.35525673627853394,0.014829657971858978,PyEPO SPO+ loss with MaxReturn optimizer
2025-11-28,spo_plus_fee,SPY,0.999999999999981,1.6449615955352783,0.008267742581665516,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-11-28,spo_plus_fee,QQQ,4.4408920985006175e-15,1.5319827795028687,0.0015794504433870316,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-11-28,spo_plus_fee,TLT,9.290383339976824e-15,1.1425223350524902,-0.0187683068215847,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-11-28,spo_plus_fee,GLD,5.0516534664653124e-15,-2.724017381668091,0.028385091572999954,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-11-28,spo_plus_fee,VNQ,1.666721581146337e-16,-1.0394959449768066,-0.014297537505626678,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-11-28,spo_plus_fee,DBC,0.0,0.35525673627853394,0.014829657971858978,PyEPO SPO+ loss with proportional transaction fee in portfolio construction
2025-11-28,spo_plus_turnover_l2,SPY,1.6027876907486445e-16,1.6449615955352783,0.008267742581665516,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-11-28,spo_plus_turnover_l2,QQQ,3.3306690738754667e-16,1.5319827795028687,0.0015794504433870316,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-11-28,spo_plus_turnover_l2,TLT,0.9999999999999991,1.1425223350524902,-0.0187683068215847,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-11-28,spo_plus_turnover_l2,GLD,0.0,-2.724017381668091,0.028385091572999954,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-11-28,spo_plus_turnover_l2,VNQ,0.0,-1.0394959449768066,-0.014297537505626678,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-11-28,spo_plus_turnover_l2,DBC,5.472143867616981e-16,0.35525673627853394,0.014829657971858978,PyEPO SPO+ loss with turnover and L2 weight regularization
2025-11-28,equal_weight_6etf,SPY,0.16666666666666666,,0.008267742581665516,benchmark
2025-11-28,equal_weight_6etf,QQQ,0.16666666666666666,,0.0015794504433870316,benchmark
2025-11-28,equal_weight_6etf,TLT,0.16666666666666666,,-0.0187683068215847,benchmark
2025-11-28,equal_weight_6etf,GLD,0.16666666666666666,,0.028385091572999954,benchmark
2025-11-28,equal_weight_6etf,VNQ,0.16666666666666666,,-0.014297537505626678,benchmark
2025-11-28,equal_weight_6etf,DBC,0.16666666666666666,,0.014829657971858978,benchmark
2025-11-28,spy_buy_hold,SPY,1.0,,0.008267742581665516,benchmark
2025-11-28,spy_buy_hold,QQQ,0.0,,0.0015794504433870316,benchmark
2025-11-28,spy_buy_hold,TLT,0.0,,-0.0187683068215847,benchmark
2025-11-28,spy_buy_hold,GLD,0.0,,0.028385091572999954,benchmark
2025-11-28,spy_buy_hold,VNQ,0.0,,-0.014297537505626678,benchmark
