date,ticker,future_return_21d,future_rank_21d,label_outperform_median_21d,label_top2_21d,label_positive_21d
2020-06-24,QQQ,0.048623289106084266,4,0,0,1
2020-06-24,SPY,0.05521381101795786,3,1,0,1
2020-06-24,TLT,0.04237866666067336,5,0,0,1
2020-06-24,VNQ,0.02020823465516486,6,0,0,1
2020-06-25,DBC,0.06721304538865058,2,1,1,1
2020-06-25,GLD,0.0990952495377957,1,1,1,1
2020-06-25,QQQ,0.057269394314902966,3,1,0,1
2020-06-25,SPY,0.05163493695748822,4,0,0,1
2020-06-25,TLT,0.035524657155118655,5,0,0,1
2020-06-25,VNQ,0.016875438758162442,6,0,0,1
2020-06-26,DBC,0.07468887367116372,2,1,1,1
2020-06-26,GLD,0.10333858176815602,1,1,1,1
2020-06-26,QQQ,0.06906169122831085,4,0,0,1
2020-06-26,SPY,0.07038896929273286,3,1,0,1
2020-06-26,TLT,0.03164729291489632,6,0,0,1
2020-06-26,VNQ,0.05739434155523737,5,0,0,1
2020-06-29,DBC,0.06285719653895461,4,0,0,1
2020-06-29,GLD,0.11102442212019792,1,1,1,1
2020-06-29,QQQ,0.06971681210622416,2,1,1,1
2020-06-29,SPY,0.06785774422060253,3,1,0,1
2020-06-29,TLT,0.033140341180173394,6,0,0,1
2020-06-29,VNQ,0.05746689261812099,5,0,0,1
2020-06-30,DBC,0.04549144583071718,4,0,0,1
2020-06-30,GLD,0.09792674832889015,1,1,1,1
2020-06-30,QQQ,0.054644322812739565,2,1,1,1
2020-06-30,SPY,0.05059006105987174,3,1,0,1
2020-06-30,TLT,0.04502271497702126,5,0,0,1
2020-06-30,VNQ,0.03832958243858542,6,0,0,1
2020-07-01,DBC,0.04270739902195153,5,0,0,1
2020-07-01,GLD,0.11289159830645934,1,1,1,1
2020-07-01,QQQ,0.06108000669193281,2,1,1,1
2020-07-01,SPY,0.05152635820487861,3,1,0,1
2020-07-01,TLT,0.046383478077817175,4,0,0,1
2020-07-01,VNQ,0.013069548138616716,6,0,0,1
2020-07-02,DBC,0.04895670310863909,4,0,0,1
2020-07-02,GLD,0.1117499349596156,1,1,1,1
2020-07-02,QQQ,0.06816263951651047,2,1,1,1
2020-07-02,SPY,0.05303755856666226,3,1,0,1
2020-07-02,TLT,0.04003311866825543,5,0,0,1
2020-07-02,VNQ,0.0024965965211414254,6,0,0,1
2020-07-06,DBC,0.04617839883481545,4,0,0,1
2020-07-06,GLD,0.12864627431829834,1,1,1,1
2020-07-06,QQQ,0.04640219451073224,3,1,0,1
2020-07-06,SPY,0.04103454577734844,5,0,0,1
2020-07-06,TLT,0.05426528025281252,2,1,1,1
2020-07-06,VNQ,0.017984402428505186,6,0,0,1
2020-07-07,DBC,0.05409706092306177,4,0,0,1
2020-07-07,GLD,0.13198067737508,1,1,1,1
2020-07-07,QQQ,0.056271870997577356,3,1,0,1
2020-07-07,SPY,0.05841678535714956,2,1,1,1
2020-07-07,TLT,0.030562102107304145,6,0,0,1
2020-07-07,VNQ,0.03338423045311356,5,0,0,1
2020-07-08,DBC,0.04870397355127132,4,0,0,1
2020-07-08,GLD,0.1399259425256154,1,1,1,1
2020-07-08,QQQ,0.05634830095725385,3,1,0,1
2020-07-08,SPY,0.05740435447568881,2,1,1,1
2020-07-08,TLT,0.04047502150418647,5,0,0,1
2020-07-08,VNQ,0.03649326017233512,6,0,0,1
2020-07-09,DBC,0.04689989122731042,4,0,0,1
2020-07-09,GLD,0.12485994261695188,1,1,1,1
2020-07-09,QQQ,0.03543370181101024,5,0,0,1
2020-07-09,SPY,0.06422147889859842,2,1,1,1
2020-07-09,TLT,0.017341582076475737,6,0,0,1
2020-07-09,VNQ,0.05790967934725422,3,1,0,1
2020-07-10,DBC,0.04581355628320427,4,0,0,1
2020-07-10,GLD,0.12388433803786358,1,1,1,1
2020-07-10,QQQ,0.0240181925948586,5,0,0,1
